"","X","name","url","state","town","vertical","base","snow","trails","acres","longestRun","snowMaking","lifts","lat","lon","ticket"
"417",417,"Long Lake Ski Area","http://www.skicentral.com/longlakeskiarea.html","Alberta","Thorhild, Alberta Mountain",328,NA,NA,12,NA,"n/a","yes",3,54.465568,-112.779035,25
"418",418,"Misery Mountain Ski Area","http://www.skicentral.com/miserymountainskiarea.html","Alberta","Peace River, Alberta ",610,NA,NA,25,NA,"n/a","character(0)",3,56.226832,-117.3026479,34
"419",419,"Hidden Valley","http://www.skicentral.com/hiddenvalleyalberta.html","Alberta","Medicine Hat, Alberta Mountain",656,3938,84,6,NA,"1.2 miles / 2 km","yes",4,51.1513095,-114.1182466,40
"420",420,"Nitehawk Ski Area","http://www.skicentral.com/nitehawkskiarea.html","Alberta","Grande Prairie, Alberta Mountain",580,1739,NA,9,250,"n/a","yes",3,55.055322,-118.8617405,37
"421",421,"Canada Olympic Park","http://www.skicentral.com/canadaolympicpark.html","Alberta","Calgary, Alberta Mountain",390,3710,116,3,NA,"n/a","yes",7,51.0823819,-114.2152734,46
"422",422,"Pass Powderkeg Ski Hill","http://www.skicentral.com/passpowderkegskihill.html","Alberta","Blairmore, Alberta ",1200,NA,NA,15,NA,"n/a","yes",3,49.6024244,-114.4493664,50
"423",423,"Rabbit Hill Snow Resort","http://www.skicentral.com/rabbithillsnowresort.html","Alberta","Leduc, Alberta Mountain",299,NA,48,12,40,"n/a","yes",8,53.381405,-113.6722725,42
"424",424,"Silver Summit Ski Area","http://www.skicentral.com/silversummitskiarea.html","Alberta","Edson, Alberta Mountain",976,3774,120,13,NA,"7874 feet / 2400 meters","character(0)",3,53.8929877,-116.5672646,40
"425",425,"Snow Valley","http://www.skicentral.com/snowvalleyalberta.html","Alberta","Edmonton, Alberta Mountain",130,2051,48,0,20,"1801 feet / 549 meters","yes",4,53.4836592,-113.5565128,39
"426",426,"Sunridge Ski Area","http://www.skicentral.com/sunridgeskiarea.html","Alberta","Edmonton, Alberta Mountain",140,NA,45,13,72,"600 feet / 183 meters","yes",5,53.564481,-113.3720811,40
"427",427,"Kinosoo Ridge Snow Resort","http://www.skicentral.com/kinosooridgesnowresort.html","Alberta","Cold Lake, Alberta Mountain",350,1775,NA,11,45,"1.2 miles / 2 km","yes",4,54.440634,-110.017379,33
"428",428,"Tawatinaw Valley","http://www.skicentral.com/tawatinawvalley.html","Alberta","Tawatinaw, Alberta Mountain",250,NA,NA,24,NA,"n/a","character(0)",4,54.2971876,-113.4780121,30
"429",429,"Vista Ridge","http://www.skicentral.com/vistaridge.html","Alberta","Fort McMurray, Alberta Mountain",410,820,NA,8,60,"2500 feet / 762 meters","yes",5,56.661712,-111.133895,41
"430",430,"Whispering Pines Ski Area","http://www.skicentral.com/whisperingpinesskiarea.html","Alberta","Worsley, Alberta Mountain",460,3040,NA,18,NA,"3500 feet / 1067 meters","character(0)",3,56.602427,-119.3917278,30
"431",431,"Whistler Blackcomb","http://www.skicentral.com/whistler.html","British Columbia","Whistler, Canada 25-40% Off Whistler Lodging & Early Booking Ski Package SpecialsWhistler lodging and complete ski packages 25-40% off early booking special! Rocky ",5280,2214,458,200,8171,"7 miles / 11.3 km","yes",37,50.1200231,-122.9430738,126
"432",432,"Sun Peaks Resort","http://www.skicentral.com/sunpeaks.html","British Columbia","Kamloops, British Columbia Sun Peaks Ski Resort Accommodation by OwnersSave time & money! Search 120+ Sun Peaks accommodations offered direct by Owner. View detailed descriptions & photos. Book instantly online by credit card and skip agent commissions! ",2894,3930,220,122,4270,"5 miles / 8 km","yes",11,50.8844485,-119.8859113,95
"433",433,"Big White Ski Resort","http://www.skicentral.com/bigwhite.html","British Columbia","Kelowna, British Columbia Big White Ski Resort Accommodation by OwnersSave time & money! Search 130+ Big White accommodations offered direct by Owner. View detailed descriptions & photos. Book instantly online by credit card and skip agent commissions! ",2550,4950,295,118,2765,"4.3 miles / 7 km","no",15,49.7216277,-118.9265789,95
"434",434,"Fernie Alpine Resort","http://www.skicentral.com/fernie.html","British Columbia","Fernie, British Columbia Fernie BC Accommodations by OwnersSearch ski rentals in top Fernie Canada locations. View detailed descriptions and photos. Book online by credit card directly with Owners. Skip commission fees & save big! ",3550,3500,348,140,2504,"3.1 miles / 5 km","yes",10,49.4638537,-115.0866092,105
"435",435,"Kicking Horse Mountain Resort","http://www.skicentral.com/kickinghorse.html","British Columbia","Golden, British Columbia Kicking Horse Ski Accommodation by OwnersSearch ski rentals in top Kicking Horse locations. View detailed descriptions and photos. Book online by credit card directly with Owners. Skip commission fees & save big! ",4133,3900,256,120,2800,"6.2 miles / 10 km","no",5,51.2975688,-117.0482516,105
"436",436,"Panorama Mountain Village","http://www.skicentral.com/panorama.html","British Columbia","Invermere, British Columbia Panorama ",4000,3875,188,120,2847,"3.7 miles / 6 km","yes",9,50.460374,-116.238147,99
"437",437,"Silver Star Mountain","http://www.skicentral.com/silverstar.html","British Columbia","Vernon, British Columbia Silver Star Resort Accomodation by OwnersSearch ski rentals in top Silver Star locations. View detailed descriptions and photos. Book online by credit card directly with Owners. Skip commission fees & save big! ",2500,3780,276,115,3065,"5 miles / 8 km","no",12,50.3597927,-119.0588591,96
"438",438,"Red Mountain","http://www.skicentral.com/redmountain.html","British Columbia","Rossland, British Columbia Red ",2919,3887,295,88,1685,"4.3 miles / 7 km","no",6,49.1024147,-117.8194705,92
"439",439,"Kimberley Alpine Resort","http://www.skicentral.com/kimberley.html","British Columbia","Kimberley, British Columbia Mountain",2465,4035,150,68,1800,"3.97 miles / 6.4 km","yes",5,49.6879955,-116.0043731,80
"440",440,"Mount Washington Alpine Resort","http://www.skicentral.com/mt.washington.html","British Columbia","Courtenay, British Columbia Mountain",1657,3558,420,60,1600,"2.4 miles / 3.9 km","no",9,49.7530555,-125.2963888,89
"441",441,"Grouse Mountain","http://www.skicentral.com/grousemountain.html","British Columbia","North Vancouver, British Columbia ",1198,899,NA,26,212,"n/a","yes",6,49.3801396,-123.081458,63
"442",442,"Mount Seymour","http://www.skicentral.com/mountseymour.html","British Columbia","North Vancouver, British Columbia ",1082,3067,394,39,200,"5280 feet / 1609 metres","character(0)",5,49.3933333,-122.9444444,56
"443",443,"Revelstoke Mountain","http://www.skicentral.com/revelstokemountainresort.html","British Columbia","Revelstoke, British Columbia ",5620,1680,444,56,3121,"9.3 miles / 15 km","character(0)",5,50.9583028,-118.1637752,99
"444",444,"Hudson Bay Mountain","http://www.skicentral.com/hudsonbaymountain.html","British Columbia","Smithers, British Columbia ",1750,3747,60,36,315,"5 miles / 8 km","character(0)",3,54.8116666,-127.3397221,65
"445",445,"Hemlock Valley","http://www.skicentral.com/hemlockvalley.html","British Columbia","Hemlock Valley, British Columbia Mountain",1300,3300,NA,34,300,"1.4 miles / 2.3 km","character(0)",4,49.376709,-121.934807,60
"446",446,"Manning Park","http://www.skicentral.com/manningpark.html","British Columbia","Manning Park, British Columbia Mountain",1433,4439,395,30,140,"n/a","character(0)",4,49.064647,-120.781581,57
"447",447,"Fairmont Hot Springs Resort","http://www.skicentral.com/fairmonthotspringsresort.html","British Columbia","Fairmont Hot Springs, British Columbia ",1000,4200,100,14,88,"7920 feet / 2414 meters","yes",3,50.3281883,-115.842681,47
"448",448,"Apex","http://www.skicentral.com/apex.html","British Columbia","Penticton, British Columbia Mountain",2000,5187,236,67,1112,"3.1 miles / 5 km","yes",4,49.390666,-119.903937,80
"449",449,"Powder King","http://www.skicentral.com/powderking.html","British Columbia","Mackenzie, British Columbia Mountain",2100,3000,492,37,925,"n/a","character(0)",3,55.3622192,-122.610386,67
"450",450,"Purden Lake and Ski Resort","http://www.skicentral.com/purdenlakeandskiresort.html","British Columbia","Prince George, British Columbia Mountain",1100,NA,160,25,NA,"n/a","character(0)",3,53.9002901,-121.8842663,65
"451",451,"Murray Ridge Ski Hill","http://www.skicentral.com/murrayridgeskihill.html","British Columbia","Fort Saint James, British Columbia Mountain",1700,NA,118,22,NA,"n/a","yes",1,54.5176907,-124.2105452,42
"452",452,"Mt. Baldy Ski Area","http://www.skicentral.com/mtbaldyskiarea.html","British Columbia","Oliver, British Columbia Mountain",1293,5665,256,35,500,"n/a","character(0)",4,49.150292,-119.2286619,55
"453",453,"Shames Mountain","http://www.skicentral.com/shamesmountain.html","British Columbia","Terrace, British Columbia ",1600,2300,480,28,252,"2.5 miles / 4 km","character(0)",3,54.484131,-128.9528149,52
"454",454,"Jumbo Glacier Resort","http://www.skicentral.com/jumboglacierresort.html","British Columbia","character(0)",5627,NA,NA,0,1510,"n/a","no",0,50.3612941,-116.6247172,NA
"455",455,"Ski Mt. Cain","http://www.skicentral.com/skimtcain.html","British Columbia","Woss, British Columbia Mountain",1499,4301,456,21,NA,"n/a","character(0)",3,50.2188795,-126.3538592,50
"456",456,"Ski Mt. Timothy","http://www.skicentral.com/skimttimothy.html","British Columbia","100 Mile House, British Columbia Mountain",989,NA,NA,35,NA,"n/a","character(0)",5,51.9149066,-121.2520607,50
"457",457,"Harper Mountain","http://www.skicentral.com/harpermountain.html","British Columbia","Kamloops, British Columbia ",1400,3600,156,15,400,"1214 feet / 370 metres","character(0)",3,50.7236425,-120.1383357,50
"458",458,"Troll Ski Resort","http://www.skicentral.com/trollskiresort.html","British Columbia","Quesnel, British Columbia Mountain",1729,NA,NA,35,NA,"3.7 miles / 6 km","no",4,53.0664545,-121.9420563,50
"459",459,"Cypress Mountain","http://www.skicentral.com/cypressmountain.html","British Columbia","West Vancouver, British Columbia ",2010,NA,NA,53,600,"n/a","yes",6,49.396018,-123.204545,75
"460",460,"Whitewater Ski and Winter Resort","http://www.skicentral.com/whitewater.html","British Columbia","Nelson, British Columbia Mountain",2043,4526,472,69,1184,"n/a","no",4,49.4443,-117.14653,84
"461",461,"Asessippi","http://www.skicentral.com/asessippi.html","Manitoba","character(0)",397,1417,NA,26,200,"n/a","yes",4,50.951127,-101.339521,50
"462",462,"Falcon Trails Resort","http://www.skicentral.com/falcontrailsresort.html","Manitoba","Falcon Lake, Manitoba Mountain",150,1060,50,12,25,"n/a","character(0)",4,49.7037965,-95.1903692,27
"463",463,"Holiday Mountain Resort","http://www.skicentral.com/holidaymountainresort.html","Manitoba","LaRiviere, Manitoba ",315,1200,NA,11,NA,"n/a","character(0)",3,49.237733,-98.693747,46
"464",464,"Mystery Mountain","http://www.skicentral.com/mysterymountain.html","Manitoba","character(0)",200,700,75,18,30,"n/a","yes",4,55.871044,-97.7771431,35
"465",465,"Springhill Winter Sports Park","http://www.skicentral.com/springhillwintersportspark.html","Manitoba","Winnipeg, Manitoba ",130,NA,NA,4,NA,"n/a","yes",3,49.9637416,-96.9812476,32
"466",466,"Stony Mountain","http://www.skicentral.com/stonymountain.html","Manitoba","Stony Mountain, Manitoba ",100,NA,NA,6,NA,"n/a","yes",2,50.0875625,-97.2196509,24
"467",467,"Crabbe Mountain","http://www.skicentral.com/crabbemountain.html","New Brunswick","Fredericton, New Brunswick ",853,472,108,20,NA,"n/a","yes",3,46.117097,-67.100672,38
"468",468,"Mont Farlagne","http://www.skicentral.com/montfarlagne.html","New Brunswick","Edmundston, New Brunswick Mountain",600,460,150,22,NA,"5400 feet / 1646 meters","yes",5,47.4142455,-68.381337,39
"469",469,"Poley Mountain","http://www.skicentral.com/poleymountain.html","New Brunswick","Sussex, New Brunswick ",660,250,NA,30,100,"5280 feet / 1609 metres","yes",5,45.6796295,-65.3822232,38
"470",470,"Marble Mountain","http://www.skicentral.com/marblemountain.html","Newfoundland","Corner Brook, Newfoundland ",1700,33,192,39,230,"3 miles / 4.8 km","character(0)",4,48.9481564,-57.8310109,45
"471",471,"White Hills Resort","http://www.skicentral.com/whitehillsresort.html","Newfoundland","Clarenville, Newfoundland Mountain",750,NA,144,20,55,"n/a","yes",2,48.1632928,-54.0464028,50
"472",472,"Ski Martock","http://www.skicentral.com/skimartock.html","Nova Scotia","character(0)",600,NA,NA,7,NA,"n/a","yes",5,44.9353337,-64.1719423,37
"473",473,"Ski Ben Eoin","http://www.skicentral.com/skibeneoin.html","Nova Scotia","Ben Eoin, Nova Scotia Mountain",490,NA,NA,11,NA,"4200 feet / 1280 meters","yes",3,45.973343,-60.433612,38
"474",474,"Ski Wentworth","http://www.skicentral.com/skiwentworth.html","Nova Scotia","Wentworth Centre, Nova Scotia Mountain",815,NA,NA,20,NA,"n/a","yes",3,45.6094525,-63.5615598,45
"475",475,"Blue Mountain","http://www.skicentral.com/bluemountain.html","Ontario","Collingwood, Ontario ",720,741,110,43,365,"5280 feet / 1609 metres","yes",13,44.503346,-80.310917,70
"476",476,"Horseshoe Resort","http://www.skicentral.com/horseshoevalley.html","Ontario","Barrie, Ontario ",308,1024,120,32,61,"2200 feet / 671 meters","yes",6,44.5506061,-79.6729508,69
"477",477,"Mount St. Louis Moonstone","http://www.skicentral.com/mountst.louismoonstone.html","Ontario","Coldwater, Ontario ",550,751,120,36,170,"1.2 miles / 2 km","yes",12,44.6231718,-79.6669872,62
"478",478,"Calabogie Peaks","http://www.skicentral.com/calabogie.html","Ontario","Calabogie, Ontario ",780,505,80,24,80,"6961 feet / 2122 meters","yes",3,45.27475,-76.78143,46
"479",479,"Mount Pakenham","http://www.skicentral.com/mountpakenham.html","Ontario","Pakenham, Ontario ",280,450,60,10,55,"1000 feet / 305 meters","yes",7,45.3246642,-76.3298963,35
"480",480,"Ski Snow Valley","http://www.skicentral.com/skisnowvalley.html","Ontario","Barrie, Ontario ",279,774,94,21,85,"3274 feet / 998 metres","character(0)",9,44.411344,-79.792242,54
"481",481,"Hockley Valley","http://www.skicentral.com/hockleyvalley.html","Ontario","Orangeville, Ontario Mountain",375,NA,100,15,30,"n/a","yes",5,43.9775621,-80.0469177,55
"482",482,"Hidden Valley Highlands","http://www.skicentral.com/hiddenvalleyhighlands.html","Ontario","Huntsville, Ontario ",333,949,125,12,35,"n/a","yes",4,45.356103,-79.129683,53
"483",483,"Adanac Ski Hill","http://www.skicentral.com/adanacskihill.html","Ontario","Sudbury, Ontario Mountain",240,NA,NA,8,NA,"n/a","yes",2,46.5105613,-80.9604325,33
"484",484,"Batawa Ski Hill","http://www.skicentral.com/batawaskihill.html","Ontario","Batawa, Ontario ",180,NA,NA,9,5,"n/a","yes",3,44.1671765,-77.5967494,39
"485",485,"Dagmar","http://www.skicentral.com/dagmar.html","Ontario","Uxbridge, Ontario ",235,NA,NA,17,30,"2600 feet / 792 meters","yes",6,44.01433,-79.049463,52
"486",486,"Devil's Elbow","http://www.skicentral.com/devilselbow.html","Ontario","Bethany, Ontario ",350,NA,NA,12,85,"n/a","yes",6,44.2208659,-78.5750082,53
"487",487,"Devil's Glen Country Club","http://www.skicentral.com/devilsglencountryclub.html","Ontario","Glen Huron, Ontario ",510,NA,NA,24,NA,"n/a","character(0)",5,44.35445,-80.2010185,NA
"488",488,"Glen Eden","http://www.skicentral.com/gleneden.html","Ontario","Milton, Ontario ",240,NA,NA,8,NA,"n/a","yes",4,43.508534,-79.942617,38
"489",489,"Craigleith Ski Club","http://www.skicentral.com/craigleithskiclub.html","Ontario","Collingwood, Ontario ",120,NA,NA,32,NA,"n/a","yes",6,44.5158484,-80.3324819,80
"490",490,"Chicopee","http://www.skicentral.com/chicopee.html","Ontario","Kitchener, Ontario ",200,NA,NA,15,NA,"n/a","character(0)",6,43.4359292,-80.41829,38
"491",491,"Caledon","http://www.skicentral.com/caledon.html","Ontario","Caledon, Ontario ",275,NA,NA,23,NA,"1400 feet / 427 meters","yes",8,43.8363372,-79.8744836,NA
"492",492,"Boler Mountain (London Ski Club)","http://www.skicentral.com/bolermountainlondonskiclub.html","Ontario","London, Ontario ",110,NA,NA,15,NA,"n/a","character(0)",4,42.9447465,-81.3390639,38
"493",493,"Beaver Valley Ski Club","http://www.skicentral.com/beavervalleyskiclub.html","Ontario","Markdale, Ontario ",505,840,NA,25,110,"3960 feet / 1207 meters","yes",6,44.357747,-80.544822,78
"494",494,"Laurentian Ski Hill","http://www.skicentral.com/laurentianskihill.html","Ontario","North Bay, Ontario ",300,NA,NA,8,NA,"n/a","character(0)",3,46.3377578,-79.4322181,38
"495",495,"Lively Ski Hill","http://www.skicentral.com/livelyskihill.html","Ontario","Lively, Ontario ",100,NA,NA,4,NA,"n/a","yes",1,46.4319119,-81.142469,13
"496",496,"Loch Lomond","http://www.skicentral.com/lochlomond.html","Ontario","Thunder Bay, Ontario ",750,700,NA,14,NA,"1.5 miles / 2.4 km","yes",3,48.2820238,-89.2987402,51
"497",497,"Mansfield Ski Club","http://www.skicentral.com/mansfieldskiclub.html","Ontario","Mansfield, Ontario ",440,NA,NA,17,NA,"n/a","yes",7,44.195702,-80.052056,63
"498",498,"Mount Chinguacousy","http://www.skicentral.com/mountchinguacousy.html","Ontario","Brampton, Ontario ",69,NA,NA,2,2,"617 feet / 188 meters","yes",1,43.7271207,-79.7256128,22
"499",499,"Mount Dufour","http://www.skicentral.com/mountdufour.html","Ontario","Elliot Lake, Ontario ",320,NA,NA,7,NA,"n/a","yes",2,46.3856917,-82.6362848,48
"500",500,"Larder Lake Ski Club","http://www.skicentral.com/larderlakeskiclub.html","Ontario","Larder Lake, Ontario ",NA,NA,NA,6,NA,"n/a","character(0)",1,48.092433,-79.723214,NA
"501",501,"Kamiskotia Snow Resort","http://www.skicentral.com/kamiskotiasnowresort.html","Ontario","Timmins, Ontario ",400,NA,134,12,NA,"n/a","yes",4,48.5342493,-81.5411522,45
"502",502,"Mt. Antoine","http://www.skicentral.com/mtantoine.html","Ontario","Mattawa, Ontario ",630,525,138,15,80,"1.9 miles / 3 km","yes",2,46.3683351,-78.7344751,58
"503",503,"Osler Bluff Ski Club","http://www.skicentral.com/oslerbluff.html","Ontario","Collingwood, Ontario ",745,940,NA,20,130,"n/a","yes",5,44.4619499,-80.2808412,73
"504",504,"Pine Ridge Ski Club","http://www.skicentral.com/pineridgeskiclub.html","Ontario","Barrie, Ontario ",320,1100,NA,7,50,"n/a","yes",3,34.0633443,-117.6508876,35
"505",505,"Remi Ski Club","http://www.skicentral.com/remiskiclub.html","Ontario","Moonbeam, Ontario ",138,NA,NA,0,NA,"1574 feet / 480 meters","character(0)",1,49.3443915,-82.1550651,17
"506",506,"Searchmont","http://www.skicentral.com/searchmont.html","Ontario","Searchmont, Ontario ",750,NA,132,18,100,"n/a","character(0)",4,46.778645,-84.051335,46
"507",507,"Sir Sam's Ski Area","http://www.skicentral.com/sirsamsskiarea.html","Ontario","Haliburton, Ontario ",330,1120,99,14,40,"n/a","yes",6,45.1301227,-78.4782273,53
"508",508,"Ski Lakeridge","http://www.skicentral.com/skilakeridge.html","Ontario","Uxbridge, Ontario ",300,NA,NA,23,70,"n/a","character(0)",5,44.0278045,-79.0630049,55
"509",509,"Brimacombre","http://www.skicentral.com/brimacombre.html","Ontario","Orono, Ontario ",300,NA,NA,21,NA,"n/a","yes",9,44.022346,-78.574953,52
"510",510,"Skyloft Ski & Country Club","http://www.skicentral.com/skyloftskicountryclub.html","Ontario","Uxbridge, Ontario ",400,NA,NA,22,NA,"n/a","yes",4,44.030133,-79.0760715,75
"511",511,"Toronto City Skiing","http://www.skicentral.com/torontocityskiing.html","Ontario","Collingwood, Ontario ",NA,NA,NA,0,NA,"n/a","yes",2,43.6503239,-79.4807942,36
"512",512,"Trestle Ridge Ski Slopes","http://www.skicentral.com/trestleridgeskislopes.html","Ontario","Terrace Bay, Ontario ",NA,NA,NA,8,NA,"n/a","character(0)",1,48.7864429,-87.1099526,NA
"513",513,"Uplands Ski Centre","http://www.skicentral.com/uplandsskicentre.html","Ontario","Thornhill, Ontario ",100,NA,NA,4,NA,"n/a","character(0)",1,43.8247508,-79.4388184,25
"514",514,"Mont Tremblant","http://www.skicentral.com/tremblant.html","Quebec","Mont-Tremblant, Quebec ",2116,755,177,96,665,"3.7 miles / 6 km","yes",14,46.1184616,-74.5961852,89
"515",515,"Mont Sainte-Anne","http://www.skicentral.com/sainte-anne.html","Quebec","Beaupre, Quebec ",2050,575,189,71,547,"3.6 miles / 5.8 km","yes",9,47.075353,-70.904903,79
"516",516,"Le Massif","http://www.skicentral.com/lemassif.html","Quebec","La Petite-Riviere-Saint-Francois, Quebec ",2526,118,212,52,406,"3.1 miles / 5 km","yes",6,47.2848129,-70.5696845,78
"517",517,"Stoneham","http://www.skicentral.com/stoneham.html","Quebec","Stoneham, Quebec ",1132,814,165,42,333,"2 miles / 3.2 km","yes",7,47.0303739,-71.3930229,64
"518",518,"Mont Saint-Sauveur","http://www.skicentral.com/saint-sauveur.html","Quebec","Saint-Sauveur-des-monts, Quebec ",698,666,100,40,142,"5280 feet / 1609 metres","yes",8,45.88492,-74.151827,60
"519",519,"Mont Orford","http://www.skicentral.com/orford.html","Quebec","Mount Orford, Quebec ",1933,867,78,62,245,"2 miles / 3.2 km","yes",8,45.3176101,-72.221249,63
"520",520,"Massif Du Sud","http://www.skicentral.com/massifdusud.html","Quebec","Saint-Philemon, Quebec ",1312,1689,236,32,127,"1.9 miles / 3 km","yes",2,46.6213833,-70.4895686,64
"521",521,"Mont Sutton","http://www.skicentral.com/sutton.html","Quebec","Sutton, Quebec ",1500,1312,185,60,230,"1.9 miles / 3 km","yes",10,45.104728,-72.56184,64
"522",522,"Ski Morin Heights","http://www.skicentral.com/morinheights.html","Quebec","character(0)",656,867,79,35,80,"n/a","yes",5,45.899502,-74.268568,49
"523",523,"Ski Bromont","http://www.skicentral.com/skibromont.html","Quebec","Bromont, Quebec ",1263,590,197,141,450,"7200 feet / 2195 meters","yes",9,45.302561,-72.6383029,62
"524",524,"Mont Blanc","http://www.skicentral.com/montblanc.html","Quebec","Mont-Tremblant, Quebec ",682,1220,118,43,140,"n/a","yes",7,46.109076,-74.4832549,55
"525",525,"Mont Avila","http://www.skicentral.com/montavila.html","Quebec","character(0)",698,667,NA,13,142,"n/a","yes",3,45.88492,-74.151827,49
"526",526,"Owl's Head","http://www.skicentral.com/owlshead.html","Quebec","Mansonville, Quebec, Canada ",1608,872,175,52,130,"n/a","yes",7,45.076604,-72.295189,35
"527",527,"Ski Mont Gabriel","http://www.skicentral.com/skimontgabriel.html","Quebec","Sainte-Adele, Quebec ",656,764,NA,21,50,"n/a","yes",5,45.9239275,-74.1543312,39
"528",528,"Mont Ste-Marie","http://www.skicentral.com/montste-marie.html","Quebec","Lac Sainte-Marie, Quebec ",1251,659,118,20,100,"n/a","yes",3,45.941,-75.874499,49
"529",529,"Mont Lac Vert","http://www.skicentral.com/montlacvert.html","Quebec","Hebertville, Quebec ",787,NA,NA,20,NA,"n/a","yes",2,48.3560168,-71.6064292,38
"530",530,"Mont Gleason","http://www.skicentral.com/montgleason.html","Quebec","Tingwick, Quebec ",666,465,69,20,NA,"1.2 miles / 2 km","yes",5,45.9304426,-71.9617601,34
"531",531,"Mont Garceau","http://www.skicentral.com/montgarceau.html","Quebec","Saint Donat, Quebec ",1000,1350,120,32,103,"1.2 miles / 2 km","yes",3,46.337413,-74.220079,44
"532",532,"Le Valinouet","http://www.skicentral.com/levalinouet.html","Quebec","Falardeau, Quebec ",1148,1509,236,30,138,"1.2 miles / 2 km","no",6,48.65625,-70.8935923,52
"533",533,"Le Relais","http://www.skicentral.com/lerelais.html","Quebec","Quebec, Quebec ",735,672,134,32,173,"1.2 miles / 2 km","yes",7,46.9413789,-71.2990775,43
"534",534,"Le Chantecler","http://www.skicentral.com/lechantecler.html","Quebec","Sainte-Adele, Quebec ",600,900,150,22,60,"1.2 miles / 2 km","yes",3,45.9499365,-74.1466722,45
"535",535,"Edelweiss Valley","http://www.skicentral.com/edelweissvalley.html","Quebec","Wakefield, Quebec ",656,492,NA,20,160,"1.2 miles / 2 km","yes",4,45.6467589,-75.8506025,45
"536",536,"Camp Fortune","http://www.skicentral.com/campfortune.html","Quebec","Old Chelsea, Quebec Mountain",650,NA,60,23,94,"n/a","yes",8,45.510998,-75.851646,44
"537",537,"Mont Rigaud","http://www.skicentral.com/montrigaud.html","Quebec","Rigaud, Quebec ",394,180,59,13,159,"n/a","yes",3,45.4680559,-74.3391609,42
"538",538,"Mont Saint-Bruno","http://www.skicentral.com/montsaintbruno.html","Quebec","Saint-Bruno-de-Montarville, Quebec ",440,NA,NA,15,50,"n/a","yes",8,45.546267,-73.342501,33
"539",539,"Parc Du Mont-Comi","http://www.skicentral.com/parcdumontcomi.html","Quebec","Saint Donat, Quebec ",1003,NA,NA,30,NA,"n/a","character(0)",4,48.46723,-68.194456,40
"540",540,"Mont Orignal","http://www.skicentral.com/montorignal.html","Quebec","character(0)",984,NA,NA,23,NA,"n/a","yes",2,46.4115485,-70.5969178,42
"541",541,"Mont Olympia","http://www.skicentral.com/montolympia.html","Quebec","character(0)",656,967,NA,37,80,"n/a","yes",6,45.9159122,-74.1236126,49
"542",542,"Mont la Reserve","http://www.skicentral.com/montlareserve.html","Quebec","Saint Donat, Quebec ",1000,1297,NA,40,100,"5249 feet / 1600 meters","character(0)",3,46.286398,-74.181474,36
"543",543,"Ski Montcalm","http://www.skicentral.com/skimontcalm.html","Quebec","Rawdon, Quebec ",450,NA,NA,24,100,"5280 feet / 1609 metres","yes",7,46.041651,-73.830908,38
"544",544,"Mont Habitant","http://www.skicentral.com/monthabitant.html","Quebec","Saint-Sauveur, Quebec ",600,551,NA,10,55,"3281 feet / 1000 metres","yes",3,45.8810976,-74.1780802,42
"545",545,"Ski Vorlage","http://www.skicentral.com/skivorlage.html","Quebec","Wakefield, Quebec ",450,489,120,18,80,"n/a","yes",5,45.6447241,-75.9345849,37
"546",546,"Station De Ski Gallix","http://www.skicentral.com/stationdeskigallix.html","Quebec","Sept-Iles, Quebec ",606,NA,NA,20,NA,"n/a","yes",3,50.175886,-66.7076141,40
"547",547,"Mont Chilly","http://www.skicentral.com/montchilly.html","Quebec","Mansfield-et-Pontefract, Quebec ",430,NA,NA,6,NA,"n/a","character(0)",1,45.9145505,-76.7456388,20
"548",548,"Mont Cascades","http://www.skicentral.com/montcascades.html","Quebec","Cantley Quebec ",541,NA,NA,20,60,"n/a","yes",5,45.5928747,-75.8488992,41
"549",549,"Mont Belu","http://www.skicentral.com/montbelu.html","Quebec","La Baie, Quebec ",600,NA,NA,10,NA,"n/a","yes",2,48.324475,-70.8386917,25
"550",550,"Val-D'Irene","http://www.skicentral.com/val-direne.html","Quebec","character(0)",899,NA,24,27,65,"413 feet / 126 meters","character(0)",3,48.465849,-67.5753489,36
"551",551,"Vallee Bleue","http://www.skicentral.com/valleebleue.html","Quebec","Val-David, Quebec ",365,1054,NA,19,40,"n/a","yes",3,45.203086,-72.68568,38
"552",552,"Vallee du Parc","http://www.skicentral.com/valleeduparc.html","Quebec","Shawinigan, Quebec ",551,NA,NA,20,NA,"n/a","yes",5,46.615268,-72.796423,35
"553",553,"Val Neigette","http://www.skicentral.com/valneigette.html","Quebec","Rimouski, Quebec ",623,NA,NA,25,85,"n/a","yes",2,48.3658398,-68.4815999,28
"554",554,"Val St-Come","http://www.skicentral.com/valstcome.html","Quebec","Saint-Come, Quebec ",1000,1000,118,36,70,"1.9 miles / 3 kmyes Lifts Number of Lifts5Gondolas/Trams0High Speed Six Chairs0High Speed Quad Chairs0Quad Chairs2Triple Chairs1Double Chairs0Surface Lifts2Lift Capacity8600 (skiers per hour)Season Dates Season Resort Features SnowboardingNight SkiingCross Country SkiingSnowshoe Trailsn/aTerrain Park 2 terrain parks. ","yes",5,46.2726002,-73.8694224,45
"555",555,"Duck Mountain Ski Area","http://www.skicentral.com/duckmountainskiarea.html","Saskatchewan","Kamsack, Saskatchewan ",325,NA,36,21,NA,"5000 feet / 1524 meters","character(0)",3,51.561415,-101.607749,30
